	Creature 	CR 	AC 	hp
	Drow Arachnomancer	13	15	162
	Drow Elite Warrior	5	18	71
	Drow Favored Consort	18	15	240
	Drow House Captain	9	16	162
	Drow Inquisitor	14	16	149
	Drow Mage	7	12	45
	Drow Matron Mother	20	17	247
	Drow Priestess of Lolth	8	16	71
	Drow Shadowblade	11	17	150
	Druid	2	11	27
	Dryad	1	11	22
	Duergar	1	16	26
	Duergar Despot	12	21	119
	Duergar Kavalrachni	2	16	26
	Duergar Mind Master	2	14	39
	Duergar Soulblade	1	14	27
	Duergar Stone Guard	2	18	39
	Duergar Warlord	6	20	75
	Duergar Xarrorn	2	18	26
	Duodrone	1/4	15	11
	Dust Hulk	5	16	68
	Dust Mephit	1/2	12	17
	Dybbuk	4	14	37
	Eagle	0	12	3
	Earth Elemental	5	17	126
	Earth Elemental Myrmidon	7	18	127
	Echo of Demogorgon	6	14	85
	Efreeti	11	17	200
	Eidolon	12	9	63
	Elder Brain	14	10	210
	Elder Brain Dragon	22	17	350
	Elder Oblex	10	16	115
	Elder Tempest	23	19	264
	Elemental Spirit	-	11	50
	Elephant	4	12	76
	Elk	1/4	10	13
	Emerald Dragon Wyrmling	2	16	39
	Empyrean	23	22	313
	Enchanter Wizard	5	12	49
	Erinyes	12	18	153
	Ettercap	2	13	44
	Ettin	4	12	85
	Ettin Ceremorph	8	15	104
	Evoker Wizard	9	12	121
	Expert (lvl 1)	-	14	11
	Expert (lvl 2)	-	14	16
	Expert (lvl 3)	-	14	22
	Expert (lvl 4)	-	14	27
	Expert (lvl 5)	-	14	33
	Expert (lvl 6)	-	14	38
	Eyedrake	8	16	119
	Faerie Dragon	1	15	14
	Female Steeder	1	14	30
	Fensir Devourer	8	17	138
	Fensir Skirmisher	6	15	94
	Fey Spirit	-	12	30
	Fiendish Spirit	-	12	50
	Fierna	25	20	367
	Firbolg Primeval Warden	4	16	65
	Firbolg Wanderer	5	16	90
	Fire Elemental	5	13	102
	Fire Elemental Myrmidon	7	18	123
	Fire Giant	9	18	162
	Fire Giant Dreadnought	14	21	187
	Fire Giant Forgecaller	18	18	312
	Fire Giant of Evil Fire	10	18	150
	Fire Hellion	11	18	175
	Fire Snake	1	14	22
	Firegaunt	11	15	175
	Firenewt Warlock of Imix	1	10	33
	Firenewt Warrior	1/2	13	27
	Fist of Bane	1/2	18	22
	Flail Snail	3	16	52
	Flameskull	4	13	40
	Flesh Colossus	20	14	280
	Flesh Golem	5	9	93
	Flind	9	16	127
	Flumph	1/8	12	7
	Flying Snake	1/8	14	5
	Flying Sword	1/4	17	17
	Fomorian	8	14	149
	Fomorian Deep Crawler	10	14	184
	Fomorian Noble	15	14	253
	Fomorian Warlock of the Dark	12	15	207
	Fox	0	13	2
	Fraz-Urb'luu	23	18	337
	Frog	0	11	1
	Froghemoth	10	14	161
	Frost Druid	5	13	67
	Frost Giant	8	15	138
	Frost Giant Everlasting One	12	15	189
	Frost Giant Ice Shaper	17	16	310
	Frost Giant of Evil Water	11	16	172
	Frost Salamander	9	17	168
	Frostmourn	10	13	195
	Fury of Kostchtchie	14	16	216
	Galeb Duhr	6	16	85
	Gargantua	21	17	388
	Gargoyle	2	15	52
	Gas Spore	1/2	5	1
	Gauth	6	15	52
	Gazer	1/2	13	13
	Gelatinous Cube	2	6	84
	Gem Greatwyrm	26	21	507
	Gem Stalker	5	17	67
	Geryon	22	19	300
	Ghast	2	13	36
	Ghost	4	11	45
	Ghost Dragon	17	10	324
	Ghoul	1	12	22
	Giant Ape	7	12	157
	Giant Badger	1/4	10	13
	Giant Bat	1/4	13	22
	Giant Boar	2	12	42
	Giant Centipede	1/4	13	4
	Giant Constrictor Snake	2	12	60
	Giant Crab	1/8	15	13
	Giant Crocodile	5	14	85
	Giant Eagle	1	13	26
	Giant Elk	2	14	42
	Giant Fire Beetle	0	13	4
	Giant Frog	1/4	11	18
	Giant Goat	1/2	11	19
	Giant Goose	3	13	60
	Giant Hyena	1	12	45
	Giant Lizard	1/4	12	19
	Giant Lynx	1/2	14	22
	Giant Octopus	1	11	52
	Giant Owl	1/4	12	19
	Giant Ox	3	12	105
	Giant Poisonous Snake	1/4	14	11
	Giant Ram	1	13	28
	Giant Rat	1/8	12	7
	Giant Scorpion	3	15	52
	Giant Sea Horse	1/2	13	16
	Giant Shark	5	13	126
	Giant Spider	1	14	26
	Giant Strider	1	14	22
	Giant Toad	1	11	39
	Giant Two-Headed Goat	1/2	11	19
	Giant Vulture	1	10	22
	Giant Walrus	4	9	55
	Giant Wasp	1/2	12	13
	Giant Weasel	1/8	13	9
	Giant Wolf Spider	1/4	13	11
	Gibbering Mouther	2	9	67
	Giff	3	16	60
	Gigant	20	17	325
	Girallon	4	13	59
	Githyanki Gish	10	17	130
	Githyanki Kith'rak	12	18	180
	Githyanki Knight	8	18	91
	Githyanki Supreme Commander	14	18	187
	Githyanki Warrior	3	17	49
	Githzerai Anarch	16	20	144
	Githzerai Enlightened	10	18	112
	Githzerai Monk	2	14	38
	Githzerai Zerth	6	17	84
	Glabrezu	9	17	157
	Gladiator	5	16	112
	Glasya	25	21	380
	Gnoll	1/2	15	22
	Gnoll Fang of Yeenoghu	4	14	65
	Gnoll Flesh Gnawer	1	14	22
	Gnoll Hunter	1/2	13	22
	Gnoll Pack Lord	2	15	49
	Gnoll Witherling	1/4	12	11
	Goat	0	10	4
	Goblin	1/4	15	7
	Goblin Boss	1	17	21
	Gold Dragon Wyrmling	3	17	60
	Goliath Giant-Kin	3	18	67
	Gorgon	5	19	114
	Goristro	17	19	310
	Gray Ooze	1/2	8	22
	Gray Render	12	19	189
	Gray Slaad	9	18	127
	Graz'zt	24	20	346
	Green Abishai	15	18	195
	Green Dragon Wyrmling	2	17	38
	Green Hag	3	17	82
	Green Slaad	8	16	127
	Grell	3	12	55
	Grick	2	14	27
	Grick alpha	7	18	75
	Griffon	2	12	59
	Grimlock	1/4	11	11
	Grinning Cat	1	12	45
	Grung	1/4	12	11
	Grung Elite Warrior	2	13	49
	Grung Wildling	1	16	27
	Guard	1/8	16	11
	Guard Drake	2	14	52
	Guardian Naga	10	18	127
	Gynosphinx	11	17	136
	Halaster Blackcloak	23	14	246
	Half-Ogre	1	12	30
	Half-Red Dragon Veteran	5	18	65
	Hare	0	13	1
	Harpy	1	11	38
	Hawk	0	13	1
	Hell Hound	3	15	45
	Hellfire Engine	16	18	216
	Hellwasp	5	19	52
	Helmed Horror	4	20	60
	Hezrou	8	16	136
	Hill Giant	5	13	105
	Hill Giant Avalancher	12	15	220
	Hippogriff	1	11	19
	Hoard Mimic	8	14	123
	Hoard Scarab	1/8	14	7
	Hobgoblin	1/2	18	11
	Hobgoblin Captain	3	17	39
	Hobgoblin Devastator	4	13	45
	Hobgoblin Iron Shadow	2	15	32
	Hobgoblin Warlord	6	20	97
	Hollow Dragon	18	19	241
	Homunculus	0	13	5
	Homunculus Servant	-	13	1
	Hook Horror	3	15	75
	Horned Devil	11	18	178
	Howler	8	16	90
	Hungry Sorrowsworn	11	17	225
	Hunter Shark	2	12	45
	Hutijin	21	19	200
	Hydra	8	15	172
	Hydroloth	9	15	135
	Hyena	0	11	5
	Ice Devil	14	18	180
	Ice Mephit	1/2	11	21
	Iggwilv the Witch Queen	20	19	255
	Illusionist Wizard	3	12	44
	Imix	19	17	325
	Imp	1	13	10
	Intellect Devourer	2	12	21
	Invisible Stalker	6	14	104
	Iron Consul	2	16	45
	Iron Golem	16	20	210
	Jackal	0	12	3
	Jackalwere	1/2	12	18
	Jarlaxle Baenre	15	24	123
	Juiblex	23	18	350
	Kapak Draconian	3	15	39
	Kender Skirmisher	1/4	14	14
	Kenku	1/4	13	13
	Ki-rin	12	20	153
	Killer Whale	3	12	90
	Knight	3	18	52
	Knucklehead Trout	0	12	7
	Kobold	1/8	12	5
	Kobold Dragonshield	1	15	44
	Kobold Inventor	1/4	12	13
	Kobold Scale Sorcerer	1	15	27
	Korred	7	17	93
	Kraken	23	18	472
	Kraken Priest	5	15	75
	Kruthik Hive Lord	5	20	102
	Kuo-toa	1/4	13	18
	Kuo-toa Archpriest	6	13	97
	Kuo-toa Whip	1	11	65
	Laeral Silverhand	17	18	228
	Lamia	4	13	97
	Lemure	0	7	13
	Leucrotta	3	14	67
	Leviathan	20	17	328
	Levistus	26	23	336
	Lich	21	17	135
	Lightning Hulk	9	15	102
	Lion	1	12	26
	Liondrake	7	16	119
	Lizard	0	10	2
	Lizard King/Queen	4	15	78
	Lizardfolk	1/2	15	22
	Lizardfolk Shaman	2	13	27
	Lonely Sorrowsworn	9	16	112
	Lord Soth	19	18	228
	Lost Sorrowsworn	7	15	78
	Mage	6	12	40
	Magma Mephit	1/2	11	22
	Magmin	1/2	14	9
	Male Steeder	1/4	12	13
	Mammon	26	18	464
	Mammoth	6	13	126
	Manes	1/8	9	9
	Manshoon	13	19	126
	Manticore	3	14	68
	Marid	11	17	229
	Marilith	16	18	189
	Martial Arts Adept	3	16	60
	Marut	25	22	432
	Master of Souls	4	12	45
	Master Sage	5	10	54
	Master Thief	5	16	84
	Mastiff	1/8	12	5
	Maurezhi	7	15	88
	Maw Demon	1	13	33
	Maw of Yeenoghu	10	15	161
	Meazel	1	13	35
	Medusa	6	15	127
	Meenlock	2	15	31
	Mephistopheles	27	21	460
	Merfolk	1/8	11	11
	Merregon	4	16	45
	Merrenoloth	3	13	40
	Merrow	2	13	45
	Metallic Greatwyrm	28	22	565
	Mezzoloth	5	18	75
	Mighty Servant of Leuk-O	-	22	310
	Miirym	22	10	262
	Mimic	2	12	58
	Mind Flayer	7	15	71
	Mindwitness	5	15	75
	Minor Air Elemental	1/4	13	16
	Minor Earth Elemental	1	15	60
	Minor Fire Elemental	2	12	39
	Minor Water Elemental	1/2	13	39
	Minotaur	3	14	76
	Minotaur Skeleton	2	12	67
	Mist Hulk	6	15	94
	Moloch	21	19	253
	Molydeus	21	19	216
	Monodrone	1/8	15	5
	Moonstone Dragon Wyrmling	2	17	39
	Morkoth	11	17	165
	Mountain Goat	1/8	11	13
	Mouth of Grolantor	6	14	105
	Mud Hulk	3	13	68
	Mud Mephit	1/4	11	27
	Muiral	13	16	195
	Mule	1/8	10	11
	Mummified Warrior	1/4	8	19
	Mummy	3	11	58
	Mummy Lord	15	17	97
	Myconid Adult	1/2	12	22
	Myconid Sovereign	2	13	60
	Myconid Sprout	0	10	7
	Nabassu	15	18	190
	Nagpa	17	19	203
	Nalfeshnee	13	18	184
	Narzugon	13	20	112
	Necromancer Wizard	9	12	110
	Necromite of Myrkul	1/2	11	13
	Needle Blight	1/4	12	11
	Neogi	3	15	33
	Neogi Hatchling	1/8	11	7
	Neogi Master	4	15	71
	Neothelid	13	16	232
	Night Blade	1/4	12	11
	Night Hag	5	17	112
	Nightmare	3	13	68
	Nightwalker	20	14	337
	Nilbog	1	13	7
	Noble	1/8	15	9
	Nothic	2	15	45
	Nupperibo	1/2	13	11
	Nycaloth	9	18	123
	Oblex Spawn	1/4	13	18
	Ochre Jelly	2	8	45
	Octopus	0	12	3
	Ogre	2	11	59
	Ogre Battering Ram	4	11	76
	Ogre Bolt Launcher	2	13	59
	Ogre Chain Brute	3	11	59
	Ogre Howdah	2	15	59
	Ogre Zombie	2	8	85
	Ogrémoch	20	20	526
	Oinoloth	12	17	119
	Olhydra	18	18	324
	Oni	7	16	110
	Orc	1/2	13	15
	Orc Blade of Ilneval	4	18	60
	Orc Claw of Luthic	2	14	45
	Orc Eye of Gruumsh	2	16	45
	Orc Hand of Yurtrus	2	12	30
	Orc Red Fang of Shargaas	3	15	52
	Orc War Chief	4	16	93
	Orcus	26	17	405
	Orog	2	18	42
	Orthon	10	17	105
	Otyugh	5	14	114
	Owl	0	11	1
	Owlbear	3	13	59
	Ox	1/4	10	15
	Panther	1/4	12	13
	Pegasus	2	12	59
	Pentadrone	2	16	32
	Peryton	2	13	33
	Phase Spider	3	13	32
	Phoenix	16	18	175
	Piercer	1/2	15	22
	Pit Fiend	20	19	300
	Pixie	1/4	15	1
	Planetar	16	19	200
	Plesiosaurus	2	13	68
	Poisonous Snake	1/8	13	2
	Polar Bear	2	12	42
	Pony	1/8	10	11
	Priest	2	13	27
	Pseudodragon	1/4	13	7
	Pteranodon	1/4	13	13
	Purple Worm	15	18	247
	Quadrone	1	16	22
	Quaggoth	2	13	45
	Quaggoth Spore Servant	1	13	45
	Quasit	1	13	7
	Quetzalcoatlus	2	13	30
	Quickling	1	16	10
	Quipper	0	13	1
	Rakshasa	13	16	110
	Rat	0	10	1
	Raven	0	12	1
	Reaper of Bhaal	2	15	27
	Red Abishai	19	22	289
	Red Dragon Wyrmling	4	17	75
	Red Slaad	5	14	93
	Redcap	3	14	45
	Reef Manta Ray	1/2	12	16
	Reef Shark	1/2	12	22
	Regisaur	14	17	181
	Remorhaz	11	17	195
	Retriever	14	19	210
	Revenant	5	13	136
	Rhinoceros	2	11	45
	Riding Horse	1/4	10	13
	Rime Hulk	5	15	85
	Roc	11	15	248
	Roper	5	20	93
	Rot Troll	9	16	138
	Rothé	1/4	10	15
	Rug of Smothering	2	12	33
	Runic Colossus	21	20	315
	Rust Monster	1/2	14	27
	Rutterkin	2	12	37
	Saber-Toothed Tiger	2	12	52
	Sage	1/2	10	22
	Sahuagin	1/2	12	22
	Sahuagin Baron	5	16	76
	Sahuagin Priestess	2	12	33
	Salamander	5	15	90
	Sapphire Dragon Wyrmling	3	16	45
	Satyr	1/2	14	31
	Scarecrow	1	11	36
	Scion of Grolantor	22	18	402
	Scion of Memnor	26	20	656
	Scion of Skoraeus	23	19	444
	Scion of Stronmaus	27	20	656
	Scion of Surtur	25	20	546
	Scion of Thrym	24	19	499
	Scorpion	0	11	1
	Scout	1/2	13	16
	Sea Hag	2	14	52
	Sea Horse	0	11	1
	Sea Spawn	1	11	32
	Seal	0	11	9
	Shadar-kai Gloom Weaver	9	14	104
	Shadar-kai Shadow Dancer	7	15	71
	Shadar-kai Soul Monger	11	15	136
	Shadow	1/2	12	16
	Shadow Demon	4	13	66
	Shadow Mastiff	2	12	33
	Shadow Mastiff Alpha	3	12	44
	Shadow Spirit	-	11	35
	Shambling Mound	5	15	136
	Shield Guardian	7	17	142
	Shoosuva	8	14	136
	Shrieker	0	5	13
	Sibriex	18	19	150
	Silver Dragon Wyrmling	2	17	45
	Sivak Draconian	4	16	57
	Skeletal Knight	7	18	112
	Skeleton	1/4	13	13
	Skulk	1/2	14	18
	Skull Lasher of Myrkul	1	12	32
	Skull Lord	15	18	112
	Slaad Tadpole	1/8	12	10
	Slithering Tracker	3	14	39
	Smoke Mephit	1/4	12	22
	Solar	21	21	243
	Spawn of Kyuss	5	10	76
	Spectator	3	14	39
	Specter	1	12	22
	Spectral Cloud	13	11	189
	Spellcaster (lvl 1)	-	12	9
	Spellcaster (lvl 2)	-	12	13
	Spellcaster (lvl 3)	-	12	18
	Spellcaster (lvl 4)	-	12	22
	Spellcaster (lvl 5)	-	12	27
	Spellcaster (lvl 6)	-	12	31
	Sperm Whale	8	13	189
	Spider	0	12	1
	Spined Devil	2	13	22
	Spirit Naga	8	15	75
	Spirit Troll	11	17	130
	Spotted Lion	3	15	66
	Spring Eladrin	10	19	165
	Sprite	1/4	15	2
	Spy	1	12	27
	Stalker of Baphomet	12	17	200
	Star Spawn Grue	1/4	11	17
	Star Spawn Hulk	10	16	136
	Star Spawn Larva Mage	16	16	168
	Star Spawn Mangler	5	14	71
	Star Spawn Seer	13	17	153
	Steam Mephit	1/4	10	21
	Steel Defender	-	15	2
	Steel Predator	16	20	207
	Stench Kow	1/2	10	15
	Stirge	1/8	14	2
	Stone Cursed	1	17	19
	Stone Giant	7	17	126
	Stone Giant Dreamwalker	10	18	161
	Stone Giant of Evil Earth	9	20	137
	Stone Giant Rockspeaker	16	19	276
	Stone Golem	10	17	178
	Storm Crab	11	18	155
	Storm Giant	13	16	230
	Storm Giant Quintessent	16	12	230
	Storm Giant Tempest Caller	20	17	310
	Storm Herald	17	16	287
	Strahd von Zarovich	15	16	144
	Succubus	4	15	66
	Summer Eladrin	10	19	165
	Swarm of Bats	1/4	12	22
	Swarm of Cranium Rats	5	12	76
	Swarm of Insects	1/2	12	22
	Swarm of Poisonous Snakes	2	14	36
	Swarm of Quippers	1	13	28
	Swarm of Rats	1/4	10	24
	Swarm of Ravens	1/4	12	24
	Swarm of Rot Grubs	1/2	8	22
	Swashbuckler	3	17	66
	Sword Wraith Commander	8	18	127
	Sword Wraith Warrior	3	16	45
	Tabaxi Hunter	1	14	40
	Tabaxi Minstrel	1/4	12	22
	Tanarukk	5	14	95
	Tarrasque	30	25	676
	Tempest Spirit	15	12	195
	Thorny Vegepygmy	1	14	27
	Thri-kreen	1	15	33
	Thug	1/2	11	32
	Tiamat	30	25	615
	Tiger	1	12	37
	Tiny Servant	-	15	10
	Titanothere	5	16	136
	Titivilus	16	20	150
	Tlincalli	5	15	85
	Topaz Dragon Wyrmling	2	16	33
	Tortle	1/4	17	22
	Tortle Druid	2	17	33
	Transmuter Wizard	5	12	49
	Trapper	3	13	68
	Treant	9	16	138
	Tribal Warrior	1/8	12	11
	Triceratops	5	13	95
	Tridrone	1/2	15	16
	Troglodyte	1/4	11	13
	Troll	5	15	84
	Troll Amalgam	17	15	217
	Troll Mutate	7	16	95
	Twig Blight	1/8	13	4
	Tyrannosaurus Rex	8	13	136
	Ulitharid	9	15	127
	Ultroloth	13	19	153
	Umber Hulk	5	18	93
	Undead Spirit	-	11	30
	Unicorn	5	12	67
	Uthgardt Shaman	2	13	38
	Vajra Safahr	13	14	126
	Vampire	13	16	144
	Vampire Spawn	5	15	82
	Vampiric Mist	3	13	30
	Vargouille	1	12	18
	Vecna the Archlich	26	18	272
	Vegepygmy	1/4	13	13
	Vegepygmy Chief	2	14	33
	Vellynne Harpell	4	13	67
	Velociraptor	1/4	13	10
	Venerable Shadow	2	13	27
	Venom Troll	7	15	94
	Veteran	3	17	58
	Vine Blight	1/2	12	26
	Violet Fungus	1/4	5	18
	Vrock	6	15	104
	Vulture	0	10	5
	Walrus	1/4	9	22
	War Priest	9	18	117
	Warhorse	1/2	11	19
	Warhorse Skeleton	1/2	13	22
	Warlock of the Archfey	4	13	67
	Warlock of the Fiend	7	13	78
	Warlock of the Great Old One	6	13	91
	Warlord	12	18	229
	Warrior (lvl 1)	-	16	13
	Warrior (lvl 2)	-	16	19
	Warrior (lvl 3)	-	16	26
	Warrior (lvl 4)	-	16	32
	Warrior (lvl 5)	-	16	39
	Warrior (lvl 6)	-	16	45
	Wastrilith	13	18	157
	Water Elemental	5	14	114
	Water Elemental Myrmidon	7	18	127
	Water Weird	3	13	58
	Weasel	0	13	1
	Were Bat	2	13	24
	Werebear	5	10	135
	Wereboar	4	10	78
	Wererat	2	12	33
	Weretiger	4	12	120
	Werewolf	3	11	58
	Wersten Kern	14	18	178
	White Abishai	6	15	68
	White Dragon Wyrmling	2	16	32
	Wight	3	14	45
	Wild Dog	1/8	12	5
	Wild Dog Alpha	1	12	26
	Wildfire Spirit	-	13	5
	Will-o'-Wisp	2	19	22
	Winged Kobold	1/4	13	7
	Winter Eladrin	10	19	165
	Winter Wolf	3	13	75
	Wolf	1/4	13	11
	Wood Woad	5	18	75
	Worg	1/2	13	26
	Wraith	5	13	67
	Wretched Sorrowsworn	1/4	15	10
	Wyvern	6	13	110
	Xorn	5	19	73
	Xvart	1/8	13	7
	Xvart Warlock of Raxivort	1	12	22
	Yagnoloth	11	17	147
	Yan-C-Bin	18	22	283
	Yeenoghu	24	20	333
	Yellow Musk Creeper	2	6	60
	Yellow Musk Zombie	1/4	9	33
	Yeth Hound	4	14	51
	Yeti	3	12	51
